minmod_id,unit name,unit aliases
Q200,tonnes,t
Q201,percent,%
Q202,million tonnes,Mt
Q203,gram per tonne,g/t
Q204,copper equivalence percent,cu eq %
Q205,lead equivalence percent,pb eq %
Q206,dollar per tonne,US$/t
