commodity_observed_name,category_observed_name,ore_unit_observed_name,ore_value,grade_unit_observed_name,grade_value,cutoff_grade_unit_observed_name,cutoff_grade_value,contained_metal,zone
Tungsten,inferred,tonnes,9209081.0,percent,0.34,percent,0.3,,Fire Tower West
Molybdenum,inferred,tonnes,9209081.0,percent,0.21,percent,0.3,,Fire Tower West
Tungsten,inferred,tonnes,3865356.0,percent,0.37,percent,0.3,,Fire Tower North
Molybdenum,inferred,tonnes,3865356.0,percent,0.20,percent,0.3,,Fire Tower North
Tungsten,inferred,tonnes,13074438.0,percent,0.35,percent,0.3,,Total Fire Tower Zone
Molybdenum,inferred,tonnes,13074438.0,percent,0.21,percent,0.3,,Total Fire Tower Zone
