commodity_observed_name,category_observed_name,ore_unit_observed_name,ore_value,grade_unit_observed_name,grade_value,cutoff_grade_unit_observed_name,cutoff_grade_value,contained_metal,zone
Tungsten,measured,tonnes,1200000.0,percent,0.379,percent,0.15,,
Tungsten,indicated,tonnes,1310000.0,percent,0.365,percent,0.15,,
Tungsten,measured+indicated,tonnes,2510000.0,percent,0.372,percent,0.15,,
Tungsten,inferred,tonnes,1210000.0,percent,0.397,percent,0.15,,
